sent,action,ob0,role0,ob1,role1,ob2,role2,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
the yellow sphere throw the green cone to the blue tower,throw,green Cone,theme ,blue Tower,recipient ,yellow Sphere,agent ,0.0000,0.9150,0.4677,0.0000,0.0000,0.4422,0.0000,0.0000,0.0000,0.0000,0.0000,0.7684,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7952,0.9129,0.8207,0.0000,0.9999,0.0066,0.0551,0.0000,0.0000,1.0000,0.3003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9964,0.0201,0.9482,0.6323,0.0000,0.0000,0.6053,0.0000,0.0000,0.1900,0.3468,0.3460
the grey cube throw the yellow tower to the purple cone,throw,grey Cube,agent ,purple Cone,recipient ,yellow Tower,theme ,0.0000,0.4400,0.4038,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,0.2998,1.0000,0.9618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1601,0.9965,0.0000,0.8262,0.9255,0.7950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2899,1.0000,0.0000,0.9483,0.0201,0.9966,0.0000,0.0000,0.6323,0.0000,0.0000,0.6039,0.3391,0.3510,0.1900
the purple cylinder roll the blue cone to the grey sphere,roll,blue Cone,theme ,grey Sphere,recipient ,purple Cylinder,agent ,0.0000,0.9138,0.4887,0.0000,0.0000,0.4071,0.0000,0.0000,0.0000,0.0000,0.5561,0.9546,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9440,0.9604,0.0787,0.0000,0.9685,0.0000,0.9938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9660,0.2064,0.9224,0.3730,0.0000,0.0000,0.3847,0.0000,0.0000,0.9046,0.3321,0.3341
the red dome throw the purple cube to the grey tower,throw,red Dome,agent ,purple Cube,theme ,grey Tower,recipient ,0.0000,0.5090,0.4519,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,0.4803,0.0000,0.7644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3524,0.9361,0.0000,0.7952,0.9979,0.8200,0.0000,0.0000,0.0000,0.0000,0.3064,0.0000,1.0000,0.0000,0.0000,0.0000,0.9444,0.9958,0.0217,0.0000,0.6323,0.0000,0.0000,0.6039,0.0000,0.3417,0.1900,0.3460
the green cylinder spin,spin,yellow Sphere, ,purple Cube, ,green Cylinder,agent ,0.0000,0.4934,0.1947,0.0000,0.0000,0.7013,0.0000,0.0000,0.0000,0.0000,0.2981,0.2994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4665,0.0000,0.0000,0.4653,0.4633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0187,0.0800,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,1.0000
the grey tower roll the red dome,roll,red Dome,theme ,purple Sphere, ,grey Tower,agent ,0.0000,0.6031,0.4877,0.0000,0.0000,0.3920,0.0000,0.0000,0.0000,0.0000,0.0000,0.9440,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5721,0.0000,0.0000,0.9801,0.0000,0.4428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9954,0.0189,0.9073,0.4295,0.0000,0.0000,0.4391,0.0000,0.0000,0.9999,0.1000,0.3371
the grey cylinder spin,spin,grey Cylinder,agent ,purple Tower, ,green Cube, ,0.0000,0.7048,0.1977,0.0000,0.0000,0.4928,0.0000,0.0000,0.0000,0.0000,0.1018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2386,0.0000,0.0000,0.2263,0.4766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0204,0.0794,0.0191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9818,0.1000,0.1000
the blue dome kick the grey cone,kick,blue Dome,agent ,green Sphere, ,grey Cone,theme ,0.0000,0.4029,0.4734,0.0000,0.0000,0.9201,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9838,0.0000,0.7945,0.9733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9079,0.0217,0.9736,0.0000,0.0000,0.6083,0.0000,0.0000,0.6052,0.3453,0.1123,0.1000
the grey sphere roll the yellow cylinder to the red cube,roll,grey Sphere,agent ,yellow Cylinder,theme ,red Cube,recipient ,0.0000,0.3350,0.3955,0.0000,0.0000,0.8320,0.0000,0.0000,0.0000,0.0000,0.8972,0.5661,0.9497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2522,0.9973,0.8345,0.0000,0.0000,0.9850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9157,0.9947,0.1184,0.0000,0.2418,0.0000,0.0000,0.0947,0.0000,0.3460,0.8053,0.3561
the grey dome hop,hop,grey Dome,agent ,yellow Cube, ,blue Cone, ,0.0000,0.2562,0.6134,0.0000,0.0000,0.5013,0.0000,0.0000,0.0000,0.0000,0.0000,0.1071,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5035,0.9243,0.0000,0.0000,0.0000,0.0000,0.1878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9915,0.0206,0.0796,0.8203,0.0000,0.0000,0.8162,0.0000,0.0000,0.1000,0.1000,0.1000
